id,lat,long,name,address,word
ChIJ2ZXz2xtm0FQRgeg37d6jGLM,41.770273,-124.1996319,High Tide Vapes,1329 Northcrest Dr Crescent City CA 95531 USA,ecig
ChIJW7EPKARX0VQR-XIQ22tYNi4,40.857374,-124.0720431,Ω Divine Tribe Ω,56 Sunnybrae Center Arcata CA 95521 USA,ecig
ChIJ6-8RIflkgYAR--0b7eWj7Kw,39.1458965,-123.2070495,Build A Ecig,534 S State St Ukiah CA 95482 USA,ecig
ChIJx6wc2EwGhYAR5mMR5QJTMGQ,38.2877861,-122.3100226,E-Cig 101 Napa,2762 Old Sonoma Rd Napa CA 94558 USA,ecig
ChIJYaJAh3aQmYAR9t_7LcLsKn8,38.9559458,-119.944709,Tahoe Big Cloudz #2,4035 Lake Tahoe Blvd South Lake Tahoe CA 96150 USA,ecig
ChIJM9DQ2haHhYARXa-nfxXm3l4,37.780882,-122.474169,Vapurr Labs Express e-cig and e-liquid,5100 Geary Blvd San Francisco CA 94118 USA,ecig
ChIJ-24WSBKHhYARqzj9t0CTGrY,37.7764922,-122.4784859,Vapurr Labs Express e-cig and e-liquid,1821 Balboa St San Francisco CA 94121 USA,ecig
ChIJmfOMuwm0hYAR5iFCEkWzP98,38.2499079,-122.6291653,Smoke Depot Smoke Shop,231 N McDowell Blvd Petaluma CA 94954 USA,ecig
ChIJpTxWAv9CkYARI4kY6sO8PRo,37.302151,-120.485261,The Vapors Merced,615 W Main St Merced CA 95340 USA,ecig
ChIJeZZPYFB13IARH5xMd8PPahs,33.1354157,-117.1821653,Cloud 9 E-Cig,813 W San Marcos Blvd San Marcos CA 92078 USA,ecig
ChIJZZjc1_Y0joARUjMdiU4d89c,37.2731222,-121.9321672,Atomic eCigs,2686 Union Ave San Jose CA 95124 USA,ecig
ChIJQeL8vchswYARJ_QA5hfJacY,35.6256851,-117.6713901,KCW Vapors,257 Balsam St Ridgecrest CA 93555 USA,ecig
ChIJI1PJ7VlawoAR0YLd1USUzZ8,34.6600306,-118.1462056,ENDLESS VAPORS,818 W Ave L Lancaster CA 93534 USA,ecig
ChIJBxCN2Xlkw4ARje-p8sPJoFQ,34.5421357,-117.2713443,The Broke Smoker Vape Shop,16025 Kamana Rd #101 Apple Valley CA 92307 USA,ecig
ChIJyQyEXpJjw4ARCYt0Jbt7qR8,34.53865,-117.254482,Vaper Rizing,18768 US Highway 18 #165 Apple Valley CA 92307 United States,ecig
ChIJfdHNPJNjw4ARJD4BWxhd29c,34.5370907,-117.2529202,Smokin Out Vapor Glass & More,18835 CA-18 Apple Valley CA 92307 USA,ecig
ChIJwzVCl6K7woARErBhUbWI8eU,34.0411842,-118.4297377,CIGAVETTE,2355 Westwood Blvd Los Angeles CA 90064 USA,ecig
ChIJf8kRuhO-woARjCDbrNrSbo4,34.1404837,-118.3774487,Vaporcade,11271 Ventura Blvd #176 Studio City CA 91604 USA,ecig
ChIJ7Rqlk4_GwoARCio_GtSoqGQ,34.0829834,-118.2185429,The Drip Club,2664 Lacy St b Los Angeles CA 90031 USA,ecig
ChIJbaaWJcM0w4ARyHVpZmNuedw,34.036221,-117.609083,RUTHLESS VAPOR,2040 S Lynx Pl Ontario CA 91761 USA,ecig
ChIJAbpyfvbI3IARVFuV-X6TPuo,33.8821994,-117.599305,SimpleCig Electronic Cigarette,1785 Pomona Rd b Corona CA 92880 USA,ecig
ChIJZ5c9VDc50YAR97-bqDJi-Ec,33.6113796,-114.5892895,Vape it Forward,601 E Hobsonway Blythe CA 92225 USA,ecig
ChIJJ81AS_p03IARW8Ulyp_lW8Q,33.1507506,-117.229466,Vape Craft Inc,2322 La Mirada Dr Vista CA 92083 USA,ecig
ChIJLywwE6Di24ARTC8851pFwaQ,32.8453891,-116.9631394,Imperial Smoke,10870 Hartley Rd B Santee CA 92071 USA,ecig
ChIJa_WIwBdmw4ARnC9m5vh3CLI,34.473356,-117.348231,E Cigarette,14400 Bear Valley Rd Victorville CA 92392 USA,ecigarette
ChIJaXa4PySWnYARjlfKkemre0M,40.415152,-120.6503782,Lassen Vape,1604 Main St Susanville CA 96130 USA,ecigarette
ChIJo8Z91Qchm4ARwWdlnrTYlQ8,38.7622503,-121.3126397,3 Monkeys Smoke & Vape Shop,5140 Foothills Blvd #170 Roseville CA 95747 USA,ecigarette
ChIJMTL4JZdhhYARG80iU6ILILU,37.9066547,-122.0659795,To The Cloud Vapor Store,1990 N California Blvd Walnut Creek CA 94596 USA,ecigarette
ChIJCQrLcT2t6YARwD21CNljZz8,34.276047,-119.26469,Coil Oil,2350 E Main St #101 Ventura CA 93003 USA,ecigarette
ChIJp74lf13f3IAREfM76u_g44w,33.676565,-117.915962,Electronic E Cigarette Liquid,2855 Pinecreek Dr Costa Mesa CA 92626 USA,ecigarette
ChIJq6qqqq0pw4ARiBh-tkajCOo,34.0345838,-117.9368484,Vapebox,15940 Kaplan Ave City of Industry CA 91744 USA,ecigarette
ChIJvybJlcjZ3IARqu4ujDg1F0g,33.7760532,-117.8690666,Green Nicotine Electronic Cigarette,2850 N Main St Santa Ana CA 92701 USA,ecigarette
ChIJNa7bnk6q3IARir2e_UTieRY,34.0571405,-117.2145494,Electric Lotus Manufacturing,1740 Howard Pl Redlands CA 92373 USA,ecigarette
ChIJ_QjdcSPGwoARJfFEfw6Mes8,34.0376406,-118.2341354,Ttzig Electronic Cigarette Spl,1340 E 6th St Los Angeles CA 90021 USA,ecigarette
ChIJVYyHw3ji24AR8RFD2vgh2hY,32.8533448,-116.9313928,Smoker's Choice,9662A Winter Gardens Blvd Lakeside CA 92040 USA,ecigarette
ChIJH5v27wBe14ARduTp3cYXmcs,32.824815,-115.569949,Deluxe Vapes,690 Main St El Centro CA 92243 USA,ecigarette
ChIJh7C6wJVGzlQRfV7W50nQCzc,41.6985384,-122.6387513,North Cloud Vape Distribution,2216 Fairlane Rd D Yreka CA 96097 USA,vape
