id,lat,long,name,address,category,zip,phone,closed
broadway-smoke-shop-and-accessories-los-angeles,34.045769674,-118.252720152,Broadway Smoke Shop & Accessories,624 S Broadway Los Angeles CA 90014,tobaccoshops vapeshops,90001,+12136222825,False
the-vapor-shop-vape-bar-and-vape-lounge-los-angeles-5,34.06204,-118.3133,The Vapor Shop - Vape Bar and Vape Lounge,3959 Wilshire Blvd Ste 13-B Los Angeles CA 90010,vapeshops tobaccoshops,90001,+14248889617,False
the-vape-shop-los-angeles-4,34.07386,-118.309486,The Vape Shop,125 N Western Ave Ste 104 Los Angeles CA 90004,vapeshops,90001,+13234969288,False
doux-vape-los-angeles-3,34.028641,-118.2755203,Doux Vape,2508 S Figueroa St Los Angeles CA 90007,vapeshops,90001,+12137440789,False
vapor-range-gardena,33.8932789,-118.3091306,Vapor Range,15210 S Western Ave Gardena CA 90249,vapeshops,90001,+13108178088,False
yassa-smoke-shop-los-angeles-11,34.0237645,-118.1872831,Yassa Smoke Shop,3956 Whittier Blvd Los Angeles CA 90023,tobaccoshops vapeshops headshops,90001,+13232633868,False
the-smoke-shop-los-angeles-5,34.06204,-118.3133,The Smoke Shop,3959 Wilshire Blvd Ste 13 Los Angeles CA 90010,vapeshops tobaccoshops,90001,+14248889617,False
a2z-smoke-shop-los-angeles-5,34.0703476047,-118.292121849,A2Z Smoke Shop,213 S Vermont Ave Los Angeles CA 90004,tobaccoshops vapeshops headshops,90001,+12133839500,False
the-candy-bar-hookah-shoppe-los-angeles,33.9584346,-118.3939655,The Candy Bar Hookah Shoppe,6208 W 87th St Los Angeles CA 90045,hookah_bars vapeshops headshops,90001,+13106700708,False
vape-guys-gardena-2,33.8876911123,-118.314139568,Vape Guys,2015 W Redondo Beach Blvd Ste E Gardena CA 90247,vapeshops,90001,+13233314092,False
golden-state-vape-shop-los-angeles,34.0699327,-118.2658958,Golden State Vape Shop,1925 W Temple St Unit 112 Los Angeles CA 90026,vapeshops,90001,+12139896903,False
the-smoke-and-vape-depot-los-angeles,34.0704281,-118.3615349,The Smoke and Vape Depot,353 S Fairfax Ave Los Angeles CA 90036,vapeshops tobaccoshops headshops,90001,+13237465055,False
angies-boutique-los-angeles-2,34.0633083,-118.2376693,Angie's Boutique,838 N Broadway Los Angeles CA 90012,tobaccoshops vapeshops,90001,+12136800080,False
arabian-nights-vape-and-smoke-shop-hookah-and-cigar-lounge-los-angeles,34.0244073,-118.2782164,Arabian Nights Vape & Smoke Shop, Hookah & Cigar Lounge,3014 S Figueroa St Los Angeles CA 90007,hookah_bars tobaccoshops vapeshops,90001,+12134934326,False
cc-smoke-shop-culver-city,34.0035701,-118.3935351,Cc Smoke Shop,10734 Jefferson Blvd Culver City CA 90230,vapeshops headshops,90001,+13105588010,False
vapor-delight-los-angeles-4,34.07299,-118.37539,Vapor Delight,8474 W 3rd St Los Angeles CA 90048,vapeshops,90001,+13234529880,False
downtown-vape-electronic-cigarettes-los-angeles-3,34.0374374,-118.2588698,Downtown VAPE Electronic Cigarettes,117 E12th St Los Angeles CA 90015,vapeshops,90001,+12137477252,False
casa-de-vape-south-gate-3,33.9428867354,-118.19477954,Casa De Vape,4386 Tweedy Blvd South Gate CA 90280,vapeshops,90001,+13232490114,False
rc-smoke-shop-and-vape-downey,33.9404476,-118.1548488,RC Smoke Shop & Vape,7352 Stewart And Gray Rd Downey CA 90241,vapeshops tobaccoshops,90001,+15622255504,False
la-meds-4-less-los-angeles,34.0256790477,-118.240312155,LA Meds 4 Less,1720 E 14th St Ste A Los Angeles CA 90021,headshops cannabisdispensaries vapeshops,90001,+12137449474,False
stogz-los-angeles,34.078,-118.37619,Stogz,372 N La Cienega Blvd Los Angeles CA 90048,tobaccoshops vapeshops,90001,+13102898080,False
beverly-vapes-los-angeles,34.0763931274,-118.364494324,Beverly Vapes,8023 Beverly Blvd Ste 5 Los Angeles CA 90048,vapeshops,90001,+13239510067,False
e-cig-city-commerce-commerce-2,34.003189,-118.166763,E-Cig City Commerce,5211 E Washington Blvd Ste 10 Commerce CA 90040,vapeshops,90001,+13233182477,False
i-smoke-4-less-los-angeles-3,33.97663,-118.37328,I smoke 4 less,6843 La Tijera Blvd Los Angeles CA 90045,vapeshops tobaccoshops headshops,90001,+14243518374,False
001-smoke-shop-los-angeles,34.0821350038,-118.272136594,001 Smoke Shop,2815 W Sunset Blvd Ste 107 Los Angeles CA 90026,tobaccoshops vapeshops,90001,+12134830440,False
manhattan-beach-smoke-shop-manhattan-beach,33.8857281403,-118.378656722,Manhattan Beach Smoke Shop,1005 N Aviation Blvd Manhattan Beach CA 90266,tobaccoshops headshops vapeshops,90001,+13107989966,False
elite-smoke-shop-los-angeles-4,34.072365,-118.369731,Elite Smoke Shop,8250 W 3rd St Ste 106 Los Angeles CA 90048,tobaccoshops vapeshops electronics,90001,+13237829394,False
